,person 1,person 2,team,# connections
671,#23 Edoardo Fabbri,#38 Alberto Cassanelli,ITA Open,1
670,#27 Joel Ang Tze Jian,#8 Tze Yee Lim,SGP Open,1
669,#17 Lorenzo Simonazzi,#55 Leonardo Andrea Maffioli,ITA Open,1
668,#1 Andrea Bulgarelli,#28 Jacopo Palombarini,ITA Open,1
667,#19 Fernando Vozzi,#55 Leonardo Andrea Maffioli,ITA Open,1
664,#19 Fernando Vozzi,#38 Alberto Cassanelli,ITA Open,1
662,#20 Pietro Zocca,#23 Edoardo Fabbri,ITA Open,1
659,#46 Tristan Yarter,#47 Leo Gordon,USA Open,1
658,#11 Calvin Stoughton,#73 Frederick Farah,USA Open,1
657,#11 Andrea Fantini,#8 Sebastian Rossi,ITA Open,1
655,#51 Kevin Pignone,#6 Lucas Coniaris,USA Open,1
654,#47 Leo Gordon,#81 Calvin Brown,USA Open,1
653,#0 Rivaldo Briceño,#19 Guillermo Luna,COL Open,1
652,#32 Albert Yuan,#51 Kevin Pignone,USA Open,1
651,#14 Juan David Guzmán Quintero,#8 Gustavo Mendez,COL Open,1
649,#25 Orion Cable,#8 Daniel Landesman,USA Open,1
642,#27 Kenrick Koo,#33 Nathan Buchholz,USA Open,1
641,#42 Jacob Thompson,#8 Josh Hanham,GBR Open,1
640,#21 Kody Elliott-Edwards,#80 Toby Nichols,GBR Open,1
580, ,#21 Josh Singleton,USA Open,1
577,#18 Adam Miller,#27 Kenrick Koo,USA Open,1
889,#24 William St-Pierre,#29 Jacob Duquette,CAN Open,1
526,#76 Róisín Lynch,#9 Phoebe Teo,GBR Women's,1
524,#11 Valle Rodríguez San Miguel,#37 Matilda Mason,GBR Women's,1
523,#36 Emily Stewart,#9 Phoebe Teo,GBR Women's,1
522,#21 Annabel Plummer,#27 Ellen Burton,GBR Women's,1
521,#11 Valle Rodríguez San Miguel,#88 Jessie Liu,GBR Women's,1
518,#25 Martina Kyla Medina,#27 Deepa Ivyette David,PHI Women's,1
516,#38 Eva Caie,#76 Róisín Lynch,GBR Women's,1
514,#12 Nicole Isabel Amurao,#4 Abigail Gerlyn Abing,PHI Women's,1
512,#38 Eva Caie,#77 Rebecca Hardman Carter,GBR Women's,1
510,#18 Miyen Ho,#38 Eva Caie,GBR Women's,1
508,#11 Wanyi Zhang,#5 Valerie Yong Wai Yan,SGP Women's,1
507,#76 Róisín Lynch,#77 Rebecca Hardman Carter,GBR Women's,1
506,#22 Katie Melville,#35 Esther Awcock,GBR Women's,1
503,#21 Annabel Plummer,#9 Phoebe Teo,GBR Women's,1
502,#17 Connie Lynch,#37 Matilda Mason,GBR Women's,1
501,#4 Celeste Ang Jia Hui,#57 Angel Lee Jia Ying,SGP Women's,1
497,#57 Angel Lee Jia Ying,#77 Vivian Ho Tsai Wei,SGP Women's,1
495,#22 Katie Melville,#26 Emily Hill,GBR Women's,1
494,#7 Giulia Cristofolini,#97 Maria Ferrero,ITA Women's,1
493,#18 Miyen Ho,#88 Jessie Liu,GBR Women's,1
492,#27 Matilde Mascellani,#7 Giulia Cristofolini,ITA Women's,1
491,#13 Melissa Barnett,#36 Emily Stewart,GBR Women's,1
489,#13 Margherita Nicotra,#7 Giulia Cristofolini,ITA Women's,1
488,#27 Ellen Burton,#37 Matilda Mason,GBR Women's,1
486,#10 Francesca Ugolini,#13 Margherita Nicotra,ITA Women's,1
485,#76 Róisín Lynch,#88 Jessie Liu,GBR Women's,1
525,#13 Melissa Barnett,#9 Phoebe Teo,GBR Women's,1
527,#11 Valle Rodríguez San Miguel,#77 Rebecca Hardman Carter,GBR Women's,1
568,#33 Thea Ee Zia,#5 Valerie Yong Wai Yan,SGP Women's,1
529,#19 Corinna Breitweiser,#31 Laura Jungwirth,AUT Women's,1
566,#0 Esther Louise Garchitorena,#52 Janica Angelli Luzuriaga,PHI Women's,1
564,#0 Esther Louise Garchitorena,#13 Sophia Leonor Genio,PHI Women's,1
563,#7 Franziska Derka,#91 Franziska Lesigang,AUT Women's,1
560,#31 Sophie Alice Bradborn,#52 Janica Angelli Luzuriaga,PHI Women's,1
558,#13 Sophia Leonor Genio,#8 Patricia Viel Del Rosario,PHI Women's,1
556,#47 Flora Scala,#99 Nina Pansy,AUT Women's,1
554,#25 Martina Kyla Medina,#4 Abigail Gerlyn Abing,PHI Women's,1
553,#13 Rosa Wutti,#38 Romina Seiler,AUT Women's,1
552, ,#12 Theresa Grossman,AUT Women's,1
551,#19 Corinna Breitweiser,#23 Anna Jörgler,AUT Women's,1
550,#27 Mira Petz,#99 Nina Pansy,AUT Women's,1
549,#13 Jing Ting Tonya Heng,#27 Jeraldine Leong Jia Yi,SGP Women's,1
548,#60 Vivien Xia Xin Tong,#72 Jovina Lew,SGP Women's,1
547,#77 Vivian Ho Tsai Wei,#9 Ermilia Pok,SGP Women's,1
546,#18 Nikola Hübl,#31 Laura Jungwirth,AUT Women's,1
544,#12 Theresa Grossman,#91 Franziska Lesigang,AUT Women's,1
542,#72 Jovina Lew,#77 Vivian Ho Tsai Wei,SGP Women's,1
539,#11 Wanyi Zhang,#33 Thea Ee Zia,SGP Women's,1
537,#12 Theresa Grossman,#74 Maja Ortner,AUT Women's,1
536,#12 Theresa Grossman,#47 Flora Scala,AUT Women's,1
535,#13 Melissa Barnett,#18 Miyen Ho,GBR Women's,1
534,#26 Emily Hill,Callahan-goal,GBR Women's,1
533,#10 Marina Symington,#34 Katie Trim,GBR Women's,1
531,#12 Theresa Grossman,#18 Nikola Hübl,AUT Women's,1
530,#13 Melissa Barnett,#77 Rebecca Hardman Carter,GBR Women's,1
683,#0 Zeno Alberto Comirato,#17 Lorenzo Simonazzi,ITA Open,1
688,#0 Zeno Alberto Comirato,#80 Simone Bortolai,ITA Open,1
691,#19 Fernando Vozzi,#96 Liam Crisafulli,ITA Open,1
845,#25 Benjamin Schlechter,#6 Jonathan Meyer-Bothling,GER Open,1
843,#18 Thorben Haag,#25 Benjamin Schlechter,GER Open,1
842,#21 Henri Bernecker,#8 Linus Luksch,GER Open,1
840,#15 Jonny Evans,#31 Matvei Morozov,GBR Open,1
839,#49 Andrzej Zaród,#55 Sam Criddle,GBR Open,1
838,#16 Ethan Morrell,#25 James English,GBR Open,1
837,#10 Rhodri Williams,#21 Kody Elliott-Edwards,GBR Open,1
836,#23 Julian Balzer,#6 Jonathan Meyer-Bothling,GER Open,1
835,#31 Mirco Peperhove,#77 Paul Herkens,GER Open,1
833,#55 Sam Criddle,#7 Thomas Oliver,GBR Open,1
832,#18 Thorben Haag,#6 Jonathan Meyer-Bothling,GER Open,1
830,#13 Kei Watanabe,#8 Josh Hanham,GBR Open,1
829,#0 Jeremia Prochaska,#7 Erik Allmer,AUT Open,1
825,#20 Sebastian Hart,#80 Toby Nichols,GBR Open,1
824,#11 Jaime Hammond,#33 Henry Brooking,GBR Open,1
823,#10 Rhodri Williams,#5 Harris Rosli,GBR Open,1
821,#10 Rhodri Williams,#16 Ethan Morrell,GBR Open,1
820,#20 Sebastian Hart,#25 James English,GBR Open,1
819,#15 Fritz Holzner,#78 Christoph Angetter,AUT Open,1
818,#21 Kody Elliott-Edwards,#27 Nicholas Houghton,GBR Open,1
817,#11 Jaime Hammond,#42 Jacob Thompson,GBR Open,1
816,#10 Rhodri Williams,#15 Jonny Evans,GBR Open,1
815,#1 Charlie Dighero,#20 Sebastian Hart,GBR Open,1
814,#16 Ethan Morrell,#7 Thomas Oliver,GBR Open,1
809,#0 Rivaldo Briceño,#43 Tomás Jaramillo,COL Open,1
808,#26 Andrew Sweetnam,#49 Andrzej Zaród,GBR Open,1
844,#10 Rhodri Williams,#8 Josh Hanham,GBR Open,1
846,#17 Myles Vinh Farr,#7 Thomas Oliver,GBR Open,1
692,#15 Fritz Holzner,#53 Theo Jauschneg,AUT Open,1
848,#18 Thorben Haag,#22 Yannik Rincker,GER Open,1
885,#11 Jeffrey Boris,#3 Zachary Tottle,CAN Open,1
883,#27 Joel Ang Tze Jian,#5 Zimo Chen,SGP Open,1
882,#19 Boon Heng Tan,#24 Ethan Kok Kuan Mun,SGP Open,1
879,#7 Andrew Yap Haan Yang,#98 Jeremy Kwa Jin Wei,SGP Open,1
877,#63 Jakob Kratky,#89 Elias Haider,AUT Open,1
876,#10 Roy Kang,#11 Ji Ern Chee,SGP Open,1
875,#15 Fritz Holzner,#63 Jakob Kratky,AUT Open,1
874,#23 Julian Balzer,#25 Benjamin Schlechter,GER Open,1
